,Close,High,Low,Open,Volume
2026-05-12,1.0908459424972534,1.0911790132522583,1.0898699760437012,1.0908340215682983,0
2026-05-13,1.0912740230560303,1.0928009748458862,1.090893030166626,1.0914700031280518,0
2026-05-14,1.0917500257492065,1.093588948249817,1.0915839672088623,1.0917799472808838,0
2026-05-15,1.0932600498199463,1.0945830345153809,1.092424988746643,1.0929559469223022,0
2026-05-18,1.0935180187225342,1.0948350429534912,1.0923949480056763,1.0934820175170898,0
2026-05-19,1.0936249494552612,1.0945709943771362,1.0905840396881104,1.0936369895935059,0
2026-05-20,1.0921080112457275,1.0932790040969849,1.090345025062561,1.0919770002365112,0
2026-05-21,1.092764973640442,1.0942360162734985,1.0921319723129272,1.0927530527114868,0
2026-05-22,1.0939359664916992,1.0971770286560059,1.0939719676971436,1.0941879749298096,0
2026-05-25,1.0964000225067139,1.0987999439239502,1.0943000316619873,1.0952999591827393,0
