Date,Close,High,Low,Open,Volume
2025-02-18,353.3475341796875,353.35741880554383,349.0585738608686,350.33635067913673,5822000
2025-02-19,351.8617248535156,353.7635025118308,350.8216628023084,352.64421231994834,4152300
2025-02-20,347.1666259765625,352.75316171370895,345.75019256546796,351.8617016060093,5697000
2025-02-21,345.2252197265625,349.9698091685173,344.18518797088177,347.1666264436641,6924100
2025-02-24,346.54266357421875,347.4737530484376,344.06636821261867,345.4531177976866,5055900
2025-02-25,348.75152587890625,349.2467849454891,342.7192740753132,348.0383516138984,6191900
2025-02-26,347.3053283691406,348.4939318226065,345.6808643527306,346.6812971976712,5960600
2025-02-27,352.36688232421875,356.89355707892616,348.3453814493155,348.5632966299945,7298100
2025-02-28,359.27081298828125,360.54858980616444,350.35615005351343,351.34666815737654,15857300
2025-03-03,358.3892517089844,363.06449816111734,356.1308717414073,359.55805576496454,9099600
2025-03-04,348.89019775390625,356.85394143390147,347.0775327212455,356.6954549121018,8955800
2025-03-05,349.3359069824219,350.7523405730608,345.6313790597623,347.5034425004098,8244200
2025-03-06,340.8966979980469,345.5620295808868,337.1624558066985,342.6796184087006,8611100
2025-03-07,342.0456848144531,343.1055463348001,335.9242907970158,337.6378675999771,6358700
2025-03-10,338.24212646484375,341.73865409490605,334.43854064676395,336.7167201504189,8204300
2025-03-11,328.99066162109375,336.38980203033515,326.454907741996,335.20119857234994,9776100
2025-03-12,329.68402099609375,332.97254814555856,325.98937782260964,332.7843472995932,6295400
2025-03-13,325.4347229003906,333.01221085616686,324.5928066637175,327.85158958095093,7915300
2025-03-14,328.65386962890625,329.6146733252818,323.28527884445793,324.10739550735946,7810600
2025-03-17,331.3778076171875,332.92301338528597,326.63324783493476,326.90067683118593,6149400
2025-03-18,331.595703125,332.6159354655545,329.1491224326512,332.11079183594336,7778300
2025-03-19,336.6473388671875,337.7963433440042,331.328262185212,333.60644143331825,5614900
2025-03-20,336.2808837890625,338.994893619958,334.4583341729373,335.7856247554998,5432700
2025-03-21,332.477294921875,336.2115371177744,332.33860788423556,334.17107233688154,17279700
2025-03-24,340.6094665527344,341.94667208183176,334.44844253835635,335.4389606742485,5675100
2025-03-25,341.3523254394531,342.2537004920348,337.43979728019883,341.29289677473014,3931200
2025-03-26,340.91650390625,344.08617383853476,339.7476998321524,342.70933920430844,6187100
2025-03-27,346.54266357421875,347.5133822381233,340.0646966725877,340.7382417561713,7254800
2025-03-28,339.59912109375,348.2859535511646,338.3708581507587,345.8790019330555,5687600
2025-03-31,347.1369323730469,348.5236515376191,331.3183585874018,336.13229182152975,9950800
2025-04-01,343.06591796875,347.12704784544377,339.3217611092503,347.11713299234066,7473300
2025-04-02,343.04608154296875,344.89837557254566,339.79718375089516,340.18350027582284,5682500
2025-04-03,336.1719055175781,341.47115242989565,327.8614453097041,330.7339413528784,8792900
2025-04-04,310.160888671875,331.47682394670574,309.16045587530937,326.87092155229243,13201700
2025-04-07,309.3586120605469,319.1251057585642,296.16490406290654,299.2058018042098,12163400
2025-04-08,305.34698486328125,323.18622441068965,301.0481402033367,319.184523071027,9569300
2025-04-09,329.2779541015625,330.86278924858084,302.7419935997283,302.7419935997283,11361800
2025-04-10,321.53204345703125,327.02943666470287,310.2995726155434,324.9097135693247,8709800
2025-04-11,330.2386779785156,333.78474916188094,319.48166756753295,321.35373077149677,6804500
2025-04-14,332.0018615722656,336.38984966000794,329.9812263391246,333.2202097617123,5011800
2025-04-15,332.6258850097656,336.17195678105526,331.82356775673037,333.52726011971436,4386200
2025-04-16,328.1883544921875,334.0225207124067,325.7417735334204,331.82356928295525,5850600
2025-04-17,326.4846496582031,331.1500115767292,325.32576043304505,327.93082781851444,5655900
