Date,Close,High,Low,Open,Volume
2024-12-09,735.1919555664062,746.8452833694208,731.4328249666959,743.1801080907909,2367900
2024-12-10,735.3798828125,750.0404683949467,735.3798828125,741.206546391085,2670026
2024-12-11,742.7101440429688,742.7101440429688,726.4519172631103,727.8615910999728,3074109
2024-12-12,737.2594604492188,746.3753632740838,725.7941010900986,744.9656893535308,2199813
2024-12-13,708.5960083007812,728.4253961992417,697.3186182482489,728.3314408927129,2821621
2024-12-16,730.4929809570312,735.0979384987829,716.5842103783638,722.6927970897859,3262227
2024-12-17,723.5386352539062,727.7676568870988,712.0732762430731,714.5166880205626,3471063
2024-12-18,725.1361694335938,729.0832674892517,714.5166384303465,723.6325403456159,2402325
2024-12-19,698.4464721679688,723.6326355435007,694.2174502719353,714.4227771085395,2911957
2024-12-20,553.7199096679688,701.0778072882315,494.32563891904795,698.6343955150519,26256621
2024-12-23,585.108642578125,609.8249716384986,574.3951550104541,577.9663175330111,8551377
2024-12-27,597.6077880859375,606.7236335676344,588.6798532395005,592.2510157061196,3751258
2024-12-30,586.6123657226562,599.2054193345969,578.4362448595091,597.6078346517311,3937493
2025-01-02,600.3331298828125,602.2126951343929,584.1688572472655,586.6123264901877,2547217
2025-01-03,599.1113891601562,599.8632037451863,588.3978449042054,598.2655619021374,2858850
2025-01-06,581.067626953125,594.7884886712856,578.4362468876561,593.4727699586593,3140819
2025-01-07,566.5009155273438,577.9662742278845,564.2454717998806,569.5082311904032,5455180
2025-01-08,582.1953125,592.4389656396332,570.2600621761479,572.3275953389831,4347636
2025-01-09,592.0630493164062,593.4727232433501,576.5566361200242,581.3495045277216,1848100
2025-01-10,594.2244873046875,602.1186835677871,588.3038687872499,590.2773891731377,2772501
2025-01-13,576.1806640625,588.1159140354849,575.7107727829319,587.364099460131,2679194
2025-01-14,556.6332397460938,583.5110573543238,553.2500452252327,582.195338729667,4974985
2025-01-15,568.5684814453125,569.3202960645242,540.3750030265367,541.87863226496,4159045
2025-01-16,565.4671630859375,570.0720630940527,560.0164358519572,570.0720630940527,3147614
2025-01-17,540.9387817382812,565.1852160222078,538.0254789446728,562.1779005631391,6386190
2025-01-20,518.1021728515625,543.8522408715943,516.9744221791922,536.6159028636482,3874586
2025-01-21,539.0592651367188,542.2545488537712,522.7070826547414,524.3986798273905,4029301
2025-01-22,546.5775146484375,555.9753402604105,543.288275684247,551.6523634228131,4106160
2025-01-23,546.013671875,550.1487381171031,538.5893666456981,542.5364649022919,3352448
2025-01-24,584.9207153320312,623.0758660882449,541.878626206137,547.0474305251195,10193866
2025-01-27,584.9207153320312,595.8221705881557,569.0383663897923,589.525615673076,5512702
2025-01-28,574.0192260742188,586.9882150576282,572.5155967914219,586.4243684165244,3441480
2025-01-29,571.1058959960938,583.041146456788,571.1058959960938,577.0265148886307,2921782
2025-01-30,567.3468017578125,572.7975296989057,561.990029138549,563.7756391315639,2479655
2025-01-31,570.72998046875,579.375992147942,570.72998046875,578.530164835931,3837601
2025-02-03,563.587646484375,568.3805148837407,551.6523957850427,563.6816018020963,2908802
2025-02-04,556.9151000976562,565.9370467328907,550.1487118209468,563.3056671408623,4075366
2025-02-05,582.1953125,592.063029661017,557.4790419400749,592.063029661017,6501780
2025-02-06,596.7619018554688,597.6077290697243,581.2554902324526,592.0629892424336,7136552
