,Close,High,Low,Open,Volume
2024-12-23,11.57365894317627,11.599171543252886,11.51534405630496,11.57912642545427,9041677
2024-12-27,11.803274154663086,11.803274154663086,11.61739539730318,11.653842093203075,11368344
2024-12-30,11.927193641662598,11.92901584625062,11.77411715981673,11.799629761964734,10601613
2025-01-02,12.266148567199707,12.284372351799894,12.000087568533697,12.005554182539028,16041557
2025-01-03,12.273436546325684,12.371842536386174,12.189609060541237,12.282547568399613,10375576
2025-01-06,12.428336143493652,12.428336143493652,12.22970107520902,12.364553770480134,10169996
2025-01-07,12.448381423950195,12.45202670205624,12.277082028574549,12.30988431778196,9615600
2025-01-08,12.45749282836914,12.510340234781856,12.348152737580289,12.45567062386633,10284370
2025-01-09,12.517629623413086,12.5340303325053,12.333573938648865,12.337218347567628,9734995
2025-01-10,12.52309799194336,12.783691496189123,12.486651293303249,12.528564605708349,17049554
2025-01-13,12.639725685119629,12.688928680082487,12.583233872507607,12.610568676607473,9116516
2025-01-14,12.52309799194336,12.577767605424606,12.493940111656567,12.541320906784495,11347566
2025-01-15,12.741777420043945,12.747244033481266,12.599635043180152,12.610569139012581,13160522
2025-01-16,12.705331802368164,12.820138514919957,12.683463608846528,12.79462591213067,9221847
2025-01-17,12.84018325805664,12.882096567441804,12.785512779556667,12.814670657742578,11902177
2025-01-20,12.657951354980469,12.847474545448467,12.648839462602304,12.838362653070302,9710387
2025-01-21,12.506696701049805,12.665239800341292,12.455671495568932,12.641549402231192,10075032
2025-01-22,12.461137771606445,12.568655662501973,12.410112567508998,12.466605254307078,9732894
2025-01-23,12.386423110961914,12.47754029859283,12.357266097536446,12.362732711694509,7604022
2025-01-24,12.216944694519043,12.391889364588017,12.17685358779728,12.373665581286788,12151307
2025-01-27,12.218766212463379,12.309883385933857,12.154984712408703,12.198720225750009,7942963
2025-01-28,12.238812446594238,12.362731040336369,12.209654568152818,12.293482056615503,9807528
2025-01-29,12.255213737487793,12.291660435551128,12.147695847857278,12.271615316438881,10759906
2025-01-30,12.424690246582031,12.441091824635006,12.258858344297025,12.298949449284047,7858552
2025-01-31,12.483006477355957,12.544965780442425,12.410113077376835,12.4738945851191,9164612
2025-02-03,12.41922378540039,12.43744669917862,12.320817791707693,12.34633039237189,10100499
2025-02-04,12.559544563293457,12.559544563293457,12.247924988943506,12.359087288325547,12077996
2025-02-05,12.52309799194336,12.617858713241375,12.48300601516875,12.555899412448971,10099562
2025-02-06,12.58505630493164,12.716264583529037,12.541319922413251,12.546787404706937,9915681
2025-02-07,12.630616188049316,12.650661307962466,12.526742703387528,12.528564908019828,10387844
2025-02-10,12.652482986450195,12.743600165938986,12.619681566517116,12.679818661671527,11074835
2025-02-11,12.812848091125488,12.836538486312895,12.710796823795983,12.710796823795983,12071339
2025-02-12,12.780046463012695,12.807381268418668,12.696218973337626,12.767290162559389,9838591
2025-02-13,12.749066352844238,12.763645726724047,12.630615240014818,12.65066035842341,10167355
2025-02-14,12.790980339050293,12.869340344922241,12.683462454816533,12.69257434611446,10449898
2025-02-17,12.825604438781738,12.871163024921028,12.730842857678498,12.741776953110238,7058951
2025-02-18,12.842004776000977,12.871162652628154,12.78368989170435,12.8565832798357,6955066
2025-02-19,12.805559158325195,12.953168151355008,12.781868761743288,12.865696252036356,10157990
2025-02-20,12.807381629943848,12.834717305079243,12.732666029614304,12.774580210113886,6444889
2025-02-21,12.721731185913086,12.78369048178895,12.679817876833853,12.74177717270972,9504049
2025-02-24,12.789158821105957,12.807381735722238,12.643372028344382,12.760000941178944,7590215
2025-02-25,12.882096290588379,12.987791967444934,12.761822109431069,12.778223687107456,13040501
2025-02-26,13.00601577758789,13.015127668654673,12.871163091839001,12.916720809257393,10862985
2025-02-27,12.823782920837402,13.122646184401926,12.705330938117518,12.938589625579736,20245656
2025-02-28,12.623326301574707,12.769113097354847,12.517630613946753,12.683463398281907,37160454
2025-03-03,12.619681358337402,12.81284894146755,12.57776717839749,12.710797667365275,12535109
2025-03-04,12.085736274719238,12.337218746356175,11.97457397848374,12.300772049117104,34245342
2025-03-05,11.976394653320312,12.226054888551182,11.94905985112179,12.20783110778037,16349674
2025-03-06,12.041999816894531,12.122182897913838,11.969106422861634,12.065690213403112,12880343
2025-03-07,12.333574295043945,12.380955088188111,12.062045836721001,12.136761435461326,16476744
2025-03-10,12.41922378540039,12.508517887725077,12.339040705485925,12.415579376436302,11895478
2025-03-11,12.34268569946289,12.608747552481162,12.337219085757654,12.486651156819244,11808986
2025-03-12,12.437448501586914,12.470250793890713,12.266149090041374,12.4465603942754,9736032
2025-03-13,12.442914009094238,12.506695509870566,12.364553134748084,12.391888808473176,8757739
2025-03-14,12.499407768249512,12.499407768249512,12.366376403956874,12.46842768294345,8202491
2025-03-17,12.77822494506836,12.77822494506836,12.517630570587214,12.555899474003265,14017775
2025-03-18,12.893030166625977,12.973213242352127,12.781867878407676,12.796446382460319,16310600
2025-03-19,13.062508583068848,13.0843759052952,12.920366209329826,12.92947723152507,15641481
2025-03-20,13.162737846374512,13.175494147440155,12.95499175119272,13.093488858327968,13273164
2025-03-21,13.098956108093262,13.166382021396029,13.03699593949594,13.100778312647684,27935504
2025-03-24,13.039608001708984,13.204665860690993,13.002516278450612,13.191683801767383,10183630
2025-03-25,13.186120986938477,13.288123009036253,13.139756109862587,13.204666407166947,11945306
2025-03-26,13.34005069732666,13.403107422780629,13.23804867943093,13.241757586456538,13614289
2025-03-27,13.432780265808105,13.442053417583026,13.223211987978889,13.243611860680002,10256303
2025-03-28,13.26030445098877,13.419798956208073,13.247322391513737,13.323360294772707,9296469
2025-03-31,13.25844955444336,13.295541278038028,13.091536356099127,13.187975014312554,10360371
2025-04-01,13.356742858886719,13.362306219554782,13.215793776591605,13.314086889752398,8665563
2025-04-02,13.271431922912598,13.371579490519533,13.165720110251684,13.349324278976555,8356812
2025-04-03,12.677963256835938,13.1453191548742,12.577815690732946,13.02848062253286,25849867
2025-04-04,12.103041648864746,12.613053539149846,11.930565080596853,12.579670720806755,35385185
2025-04-07,11.168328285217285,11.709868509163698,11.12752765469514,11.4984448894504,48554374
2025-04-08,11.025525093078613,11.427970670914068,10.997705638590087,11.361205041345285,30739219
2025-04-09,10.417221069335938,10.706536169974603,10.209507232918611,10.663881084268423,38517007
2025-04-10,10.717662811279297,11.544809175313237,10.717662811279297,11.370478172314575,27144344
2025-04-11,10.662027359008789,10.810394268822504,10.576716297432249,10.725083207245964,14276050
2025-04-14,10.92166805267334,11.08672679352423,10.86788536427048,10.901267295668465,15113724
2025-04-15,11.090435981750488,11.16461942903954,10.95134223916763,10.96617875175815,25414693
2025-04-16,11.288877487182617,11.324114759880386,10.873449798153626,10.914251316191312,15927987
2025-04-17,11.379752159118652,11.409425184827299,11.225821016871835,11.325968584059094,10014641
2025-04-22,11.496590614318848,11.539246583362637,11.303713295518671,11.351932625218716,9957392
2025-04-23,11.526265144348145,11.798889286575646,11.463209298502155,11.628267169892847,15140726
2025-04-24,11.769216537475586,11.82856259308316,11.64681375019604,11.698741991020933,12283382
2025-04-25,11.83041763305664,11.886054779871136,11.687614090049495,11.84339969293579,9692243
2025-04-28,11.793326377868652,11.94169328774559,11.76179801156836,11.915729166950781,11653957
2025-04-29,11.763650894165039,11.845253037433375,11.685758542183732,11.77663295282859,10147275
2025-04-30,11.776634216308594,11.7821984616679,11.581902431126712,11.693177610611142,18597543
2025-05-02,11.735833168029785,11.92685603911742,11.600448326887841,11.856381495965042,14493640
2025-05-05,11.659794807434082,11.737687161971168,11.500300306951157,11.661649260970234,12390337
2025-05-06,11.791470527648926,11.815580193673556,11.715432622290168,11.772925106888094,10272734
2025-05-07,11.730270385742188,11.798890483843364,11.64125041106394,11.77478081524961,10496569
2025-05-08,11.819290161132812,11.821144614802835,11.717287250252973,11.739542462966265,9587009
2025-05-09,12.054821968078613,12.103041298399077,11.860090193220808,11.869363345437005,14873901
2025-05-12,12.303337097167969,12.435013035858965,12.221735829409013,12.240281250504587,16423155
2025-05-13,12.494359016418457,12.494359016418457,12.23286249711477,12.268098882926157,11506183
2025-05-14,12.468396186828613,12.564834855234158,12.418322398900587,12.509196821793829,11794818
2025-05-15,12.355266571044922,12.379376238186282,12.258827902479476,12.342284510610076,13188085
2025-05-16,12.41832160949707,12.518469178986978,12.39606639753565,12.423884970319184,11688379
2025-05-19,12.357845306396484,12.514704675999578,12.323827448923675,12.454228785323195,9796177
2025-05-20,12.405092239379883,12.405092239379883,12.27658063314761,12.327606969019552,10791548
2025-05-21,12.303040504455566,12.423991394433381,12.303040504455566,12.420211932572611,9314814
2025-05-22,12.114052772521973,12.212325988388397,12.04979741626144,12.189647415317802,14644797
2025-05-23,12.053576469421387,12.193427364895845,11.881599248644626,12.161299237275152,14714785
2025-05-26,12.217995643615723,12.274691173097642,12.149959926846389,12.18964697771557,6930568
2025-05-27,12.282251358032227,12.346506713871808,12.19909689103789,12.19909689103789,7893857
2025-05-28,12.250123023986816,12.372964540953912,12.250123023986816,12.295480169069807,8202179
2025-05-29,12.217995643615723,12.363514830136054,12.208546088315673,12.327607240923216,6581707
2025-05-30,12.257683753967285,12.367296261908235,12.22933598677611,12.274692234050136,16905222
2025-06-02,12.444779396057129,12.493916001563806,12.269021815178379,12.293590117931716,12009400
2025-06-03,12.569510459899902,12.584629207263227,12.422100645499356,12.505255107736394,10709715
2025-06-04,12.452339172363281,12.622426659018272,12.43344006209096,12.535492734315792,10012847
2025-06-05,12.480687141418457,12.575179990853133,12.397532676942218,12.425880441656702,10089810
2025-06-06,12.6148681640625,12.620537356641137,12.499585570038143,12.518484680952014,8432359
2025-06-09,12.6148681640625,12.664004771047516,12.533603428987586,12.601639146886473,6203614
2025-06-10,12.919136047363281,12.930475333317348,12.635655700829952,12.652665080340643,16274548
2025-06-11,12.898348808288574,12.977723819825789,12.837873810567846,12.862442116326626,8827382
2025-06-12,13.094894409179688,13.128912269071462,12.964493964666733,13.011740842100993,15094195
2025-06-13,13.230964660644531,13.512555287072042,13.093004394316747,13.408611978739065,23751198
2025-06-16,13.223405838012695,13.395383063646916,13.168599136542237,13.36136610539267,14050282
2025-06-17,13.372705459594727,13.385934477018207,13.236634922410897,13.26876214994254,11840464
2025-06-18,13.39349365234375,13.427511512568918,13.30844945236045,13.399163746294231,15578689
2025-06-19,13.470977783203125,13.554132250748332,13.42184207642553,13.436960824753962,15918846
2025-06-20,13.518224716186523,13.559802400710803,13.35380641247107,13.495546143020414,22793569
2025-06-23,13.440740585327148,13.644845945196186,13.440740585327148,13.578700856564414,16371993
2025-06-24,13.098674774169922,13.108123428730835,12.8359823518734,12.956934141845423,26496110
2025-06-25,12.983390808105469,13.113792140049526,12.975831885253669,13.074105091600165,9425890
2025-06-26,12.95504379272461,13.053317004742421,12.91535674198492,12.992841112642292,8604490
2025-06-27,13.068435668945312,13.068435668945312,12.919136121050897,12.941814693088386,7023569
2025-06-30,13.002290725708008,13.085444289201023,12.919136261055801,13.085444289201023,9678454
2025-07-01,13.030638694763184,13.055206998262003,12.956933784266731,13.000401198684274,5479458
2025-07-02,13.206395149230957,13.327346925499853,13.089223735517368,13.113792036910764,13399030
2025-07-03,13.212066650390625,13.331127807489715,13.202617094734093,13.325458614791332,7505002
2025-07-04,13.155370712280273,13.191278304197915,13.106234102409738,13.172379192174205,5596887
2025-07-07,13.09300422668457,13.149700657882045,13.019299316707455,13.096783688378002,7347333
2025-07-08,13.3386869430542,13.344356135459662,13.113792756772236,13.115682487574057,10989018
2025-07-09,13.469088554382324,13.512555971250988,13.372705966971294,13.399164002822106,11765700
2025-07-10,13.495545387268066,13.540902531060281,13.380263698148564,13.49365565646992,7780174
2025-07-11,13.501216888427734,13.533344117664083,13.385935187289226,13.508775812408395,8813294
2025-07-14,13.41617202758789,13.544682740549533,13.380264436962886,13.4086122028187,7023097
2025-07-15,13.414280891418457,13.467196955781672,13.376483573850571,13.389712589941375,5754068
2025-07-16,13.421841621398926,13.535233581756787,13.350026442824522,13.42751081389518,6396744
2025-07-17,13.368925094604492,13.480427327819228,13.316009024918646,13.467198310397766,7521818
2025-07-18,13.384042739868164,13.531452551409224,13.384042739868164,13.461528008275568,10889134
2025-07-21,13.378375053405762,13.455859429374987,13.32923844402835,13.370815228440293,5611599
2025-07-22,13.387824058532715,13.429400841234143,13.323568703027156,13.323568703027156,5835197
2025-07-23,13.512555122375488,13.61460779743448,13.44640913574457,13.480426994483969,11421492
2025-07-24,13.607048034667969,13.6883127696101,13.504995359145596,13.62594714555096,10606439
2025-07-25,13.854620933532715,13.890528523628989,13.52200486945213,13.639176294114279,18963000
2025-07-28,13.933996200561523,13.947225218092305,13.78847610656369,13.899978340699843,11624798
2025-07-29,13.990690231323242,14.032267911523814,13.922655420059154,13.962342468393134,9797024
2025-07-30,14.073844909667969,14.164558293152032,13.951003400179575,14.079514101878594,13824572
