Date,Close,High,Low,Open,Volume
2025-02-18,225.65219116210938,229.2759741788118,221.47546246292723,227.20242786951277,26080500
2025-02-19,225.84963989257812,226.18536978416998,221.5741649984029,224.98073182014656,16375500
2025-02-20,223.8847198486328,226.09650239223797,219.94495959287823,225.7706561996593,16104000
2025-02-21,215.90647888183594,224.88200741697443,212.91463603678977,222.80844610787895,24883600
2025-02-24,205.3115692138672,216.71612523998567,204.9264810135034,215.84721716051544,33050400
2025-02-25,199.98947143554688,206.01266209830288,198.38987640269428,204.39331470044323,33100800
2025-02-26,210.2584991455078,210.85093444684563,203.40589052023196,204.30443472056223,21368300
2025-02-27,195.3091583251953,216.48904096120802,194.91418638266006,214.54384746080927,27572900
2025-02-28,196.9186248779297,198.6564713180188,190.7177084196682,193.29484200035554,39747200
2025-03-03,185.010498046875,201.49032803329786,182.20626497532143,201.4310860068993,37435600
2025-03-04,185.11912536621094,191.5076521124751,178.20727393088936,186.83721957555287,37910500
2025-03-05,189.16746520996094,191.63598310590473,184.74388535908818,189.44393800897564,25644500
2025-03-06,177.19021606445312,184.47728589995404,175.3733904628195,178.76018987021354,56864100
2025-03-07,192.50491333007812,193.0183542234015,179.27364787960005,185.36594846360015,74528900
2025-03-10,182.12725830078125,189.56243344511265,178.15787706676485,187.21241451218023,44217100
2025-03-11,187.6962432861328,193.1566042532924,183.0159424952184,185.68193909594572,42153200
2025-03-12,191.7841033935547,197.4616950054078,190.02651971730342,193.74904921886423,30409700
2025-03-13,188.95025634765625,193.84780305063532,187.0840572045127,190.7177087368526,27236100
2025-03-14,193.07760620117188,195.01293103212828,190.76707686215164,193.7292985993485,25900900
2025-03-17,192.0507354736328,194.24278106329038,185.13888381134268,185.68196088385082,26830600
2025-03-18,186.2941436767578,190.46100391609374,184.54642844146616,188.04185891204946,24951000
2025-03-19,193.10723876953125,195.77323527121797,184.54640484600964,186.95568089246262,37962700
2025-03-20,188.70986938476562,191.9781761277567,187.12524634517226,189.68046743106606,31430000
2025-03-21,189.81912231445312,190.22518791917113,185.5703190109,186.40226235311556,43086500
2025-03-24,189.41305541992188,194.80080696982301,188.83862447106324,192.4337633784763,33180300
2025-03-25,186.45176696777344,189.75969792530447,185.87733602439656,189.0565107893104,23417300
2025-03-26,177.5481414794922,186.25370813523995,175.8743712702192,184.86716098022535,30578500
