,Close,High,Low,Open,Volume
2024-12-27,500.47308349609375,507.63536662335224,498.07237101978734,506.7886375126336,4451
2024-12-30,497.5942077636719,501.4393422539909,492.9920239456665,500.7320880031527,2641
2025-01-02,501.2799377441406,501.9573088449618,495.57201766240274,497.80340246499566,6142
2025-01-03,502.58489990234375,502.58489990234375,497.43481826724104,498.9489777142734,1911
2025-01-06,507.6553039550781,509.0001055040516,502.9037042419602,503.97952724118306,12343
2025-01-07,500.9412841796875,506.34037178087044,499.06852715790126,503.6607399316014,4443
2025-01-08,500.64239501953125,502.17646638504385,497.2555090852204,500.1144395391821,5319
2025-01-09,500.064697265625,500.17425860333964,498.4908018334661,498.4908018334661,1979
2025-01-10,494.4066162109375,501.1704178129404,492.59362529909157,499.05859560790145,6757
2025-01-13,491.6073913574219,494.37667246788203,489.69478011570055,493.9184240079328,5027
2025-01-14,491.4380798339844,497.94290426589197,490.6112930127455,496.4885413466402,6771
2025-01-15,500.8316955566406,502.29602958596365,490.58138775130544,490.66106595701564,15509
2025-01-16,501.7780456542969,506.1212222672697,501.4592720313468,505.6829465356207,11149
2025-01-17,507.2568664550781,510.04609019102725,499.8455465623032,500.09458276730254,5812
2025-01-20,504.7864074707031,507.376390037085,503.381839651243,506.8982295879305,8232
2025-01-21,502.6048278808594,507.4560784113442,502.4355002951518,504.47758489880005,6876
2025-01-22,512.3372192382812,512.3372192382812,506.3702909999623,508.0836613335142,7038
2025-01-23,510.1954650878906,510.90274978369354,508.4123877842019,510.0161663199097,4800
2025-01-24,506.7189025878906,509.49815494388946,506.0415314559395,508.6414546535424,2787
2025-01-27,488.8779602050781,493.29090466157055,478.3885569419923,493.00201416488716,11068
2025-01-28,497.036376953125,498.759718318083,492.19512805029916,495.2732116860326,7899
2025-01-29,499.5068359375,504.80633341027163,498.11223933938265,503.90977879726506,11713
2025-01-30,500.7121887207031,504.90594990953093,497.5743386112483,503.630885753311,12492
2025-01-31,510.7732238769531,512.1379373293208,506.93806048458134,507.1970678492382,13307
2025-02-03,503.7404479980469,504.0592216184197,498.78960730635663,501.4692391527601,17103
2025-02-04,505.88214111328125,506.230797852266,500.2539294122699,502.7144081360653,13457
2025-02-05,502.774169921875,503.10288430718754,499.0286560047762,501.4493108054127,8166
2025-02-06,509.528076171875,510.7533148463054,508.03385893969937,508.561814479071,5590
2025-02-07,508.12347412109375,513.0145485131617,507.0376799867948,510.28512161409697,6642
2025-02-10,513.8114013671875,514.5087147863053,509.47819643384287,510.2651288240811,5867
2025-02-11,511.4605712890625,512.855198281954,509.2292167403173,511.83911116428015,8374
2025-02-12,507.31658935546875,510.72341772467,505.21473855686986,509.737213765206,5356
2025-02-13,511.57012939453125,513.0245226322382,507.44610589563706,509.0598555430272,7392
2025-02-14,511.4605712890625,513.6023068567491,510.3249516634096,513.4728031731298,4470
2025-02-17,514.9071655273438,515.9132204965288,514.2596472205921,515.2956157115538,3697
2025-02-18,515.2061157226562,518.6129140006775,513.8114886475175,517.327909064194,4315
2025-02-19,518.3638916015625,518.3938051310439,514.8574422677162,517.1784767960763,7763
2025-02-20,511.839111328125,516.8696302400521,510.2054193187524,515.9332517273484,5380
2025-02-21,511.639892578125,515.9532166304793,510.0261428495036,512.3770300097356,6060
2025-02-24,500.7818908691406,506.19094957573765,497.9727553729241,503.87988645544925,15053
2025-02-25,486.3478088378906,496.5284103743839,486.11868457946304,495.7613593874336,6531
2025-02-26,494.5361022949219,494.9444949144341,491.0993905459379,492.6035789346131,6135
2025-02-27,492.39434814453125,497.89308673639493,487.74236908792733,493.6992953625451,4230
2025-02-28,483.2198791503906,484.95316138075,478.1495057478474,482.3731499873101,5262
2025-03-03,483.1800231933594,490.5116647310409,482.38311951314313,490.12315366698493,5836
2025-03-04,465.8570556640625,475.44993443412494,464.7015241104592,474.86221268184767,10669
2025-03-05,456.931640625,468.905290405137,456.931640625,468.1183274861651,13480
2025-03-06,458.5154724121094,462.9682406307212,454.859607828179,462.53987528715305,5557
2025-03-07,445.2767028808594,454.7301068225463,445.2767028808594,453.3454814291553,5020
2025-03-10,439.758056640625,451.4528167790981,438.30369380497854,451.31334192092316,9263
2025-03-11,432.4064636230469,437.0983268919932,430.20499242122173,435.64393379040496,7550
2025-03-12,439.608642578125,442.1487995617858,433.322971560585,434.90683808450507,4915
2025-03-13,433.1448059082031,439.73554000277414,432.606370111589,436.26569480585397,5737
2025-03-14,439.6458435058594,441.14147495804707,434.45102544863005,435.6076507564325,3091
2025-03-17,439.14727783203125,443.54443773405967,438.2199936807139,439.06752421384516,5879
2025-03-18,435.4082336425781,441.42067103700185,433.4340195429976,440.3238685212901,5947
2025-03-19,440.9520263671875,441.5103930090005,435.4979557816176,435.55777860547613,4406
2025-03-20,442.8066101074219,447.622529836166,439.52618337700267,444.67115905445837,5876
2025-03-21,442.6371154785156,442.6371154785156,437.44229731486035,442.2083750896595,3611
2025-03-24,454.7616882324219,455.2103898321893,449.18797209691405,449.32757896926813,8629
2025-03-25,456.2074890136719,457.25441886806567,453.86432696526185,455.3599584307959,6428
