Date,Close,High,Low,Open,Volume
2024-12-03,413.72698974609375,415.1986294583413,408.3309774678528,408.3309774678528,228694
2024-12-04,416.4740295410156,420.3984020219675,410.58747081958785,415.2967058204957,226300
2024-12-05,415.10052490234375,418.33812037686977,413.7270004568051,416.47404934788244,256648
2024-12-06,424.1265563964844,424.6171029710538,412.15723794134266,412.15723794134266,269628
2024-12-09,419.4173278808594,427.85473508482573,417.160825578437,427.4623038070897,257142
2024-12-10,416.964599609375,420.10410974737476,416.17973704516885,417.16083022072036,206176
2024-12-11,420.0059814453125,420.69272868259566,415.1986310219833,416.9645867070963,232651
2024-12-12,422.94927978515625,425.2057821437231,418.92679172195665,418.92679172195665,182356
2024-12-13,423.3417053222656,429.91504157581045,422.7530434287174,425.10766106232273,236028
2024-12-16,412.35345458984375,424.1265728358417,410.6856141360135,422.262501768343,302994
2024-12-17,406.8593444824219,409.4101627400224,403.71983440148534,407.34989106128154,283442
2024-12-18,407.3498840332031,409.11583971039465,403.71982743603695,407.6441999992062,313383
2024-12-19,401.07086181640625,410.58747720699654,398.7162442793221,403.7198252584924,382962
2024-12-20,403.81793212890625,404.9952259025746,395.5767559508849,397.4408268812991,491997
2024-12-23,400.4822692871094,402.8368870558413,398.7162835051184,400.4822692871094,162856
2024-12-27,406.9574279785156,406.9574279785156,398.9124820864817,404.01414851886216,175636
2024-12-30,404.6028137207031,406.95743131963997,401.46333356898316,403.91606647216463,157241
2025-01-02,401.4633483886719,403.7198507666609,395.28244328013915,402.44444158616074,258736
2025-01-03,397.6370544433594,402.24820437215334,392.9278191488961,400.18790270310524,243575
2025-01-06,403.52362060546875,407.84045463175295,398.91250053643006,399.893593735024,274882
2025-01-07,407.1536560058594,408.6252957263625,401.0708665182118,406.1725628588573,253345
2025-01-08,412.25537109375,412.25537109375,404.8971721566216,406.36881194404725,287678
2025-01-09,412.05914306640625,414.11944476985593,409.21397878097014,409.90072605506117,150420
2025-01-10,410.5874938964844,417.7494621005225,410.29317792010545,411.7648176831753,244647
2025-01-13,399.206787109375,407.74230928454824,394.98809864245584,407.25176272139083,404109
2025-01-14,402.9349670410156,406.8593396250408,400.97278074900305,403.22928300858285,323923
2025-01-15,410.68560791015625,412.3534483387026,400.678445576528,402.2482006403151,274620
2025-01-16,412.1572570800781,420.0060026376494,411.86291115731626,414.3156441440573,294235
2025-01-17,416.2778015136719,419.1229955324163,411.6666817844045,412.1572283475555,298496
2025-01-20,413.9232177734375,419.7116617028196,412.54969327265695,416.57218140683386,209067
2025-01-21,412.05914306640625,415.78728524172413,410.4893879618451,413.0402362641834,286344
2025-01-22,409.0177307128906,416.47404468596284,407.9385222532666,413.53076521821754,308375
2025-01-23,401.4633483886719,408.82154736983824,399.5011619936942,407.44799294088324,447854
2025-01-24,403.22930908203125,406.6631353150899,401.46335328126514,404.2104022914766,299779
2025-01-27,400.77655029296875,404.30849160802535,394.6937608092275,403.2292831588988,439473
