Date,Close,High,Low,Open,Volume
2024-04-15,508.2300109863281,511.1499938964844,507.20001220703125,508.7099914550781,7031
2024-04-16,500.67999267578125,501.9700012207031,498.8800048828125,501.05999755859375,10094
2024-04-17,497.2099914550781,502.0799865722656,497.2099914550781,499.7799987792969,3823
2024-04-18,498.2200012207031,498.94000244140625,495.2099914550781,496.760009765625,6630
2024-04-19,492.5899963378906,494.9800109863281,492.3599853515625,492.6700134277344,7261
2024-04-22,492.4100036621094,494.6499938964844,491.3699951171875,492.75,8025
2024-04-23,497.7200012207031,498.2799987792969,493.79998779296875,495.6000061035156,9709
2024-04-24,498.6000061035156,500.8999938964844,498.0199890136719,500.7099914550781,9149
2024-04-25,492.1700134277344,495.489990234375,491.0,495.2099914550781,2360
2024-04-26,501.9700012207031,503.0899963378906,497.989990234375,499.1000061035156,10635
2024-04-29,501.6000061035156,504.05999755859375,501.5,502.1600036621094,4224
2024-04-30,500.3699951171875,502.8999938964844,500.29998779296875,502.5199890136719,3590
2024-05-02,494.8999938964844,497.55999755859375,494.0,495.2300109863281,10605
2024-05-03,499.8500061035156,501.2799987792969,497.4800109863281,498.04998779296875,9117
2024-05-06,503.6300048828125,503.8800048828125,501.7699890136719,502.25,3098
2024-05-07,507.4200134277344,507.5199890136719,506.1700134277344,506.82000732421875,4251
2024-05-08,507.8399963378906,508.7200012207031,505.8699951171875,508.29998779296875,1853
2024-05-09,508.6499938964844,508.8399963378906,506.95001220703125,507.94000244140625,4954
2024-05-10,510.0400085449219,511.4800109863281,510.0,510.489990234375,6217
2024-05-13,509.5199890136719,511.1199951171875,509.1000061035156,511.04998779296875,3839
2024-05-14,508.79998779296875,510.4200134277344,508.0,509.70001220703125,3864
2024-05-15,512.5900268554688,512.9600219726562,510.0,510.5199890136719,4239
2024-05-16,515.8099975585938,516.0,514.5700073242188,514.7000122070312,5257
2024-05-17,513.27001953125,515.2000122070312,513.0,514.0599975585938,2610
2024-05-20,516.5399780273438,516.5399780273438,514.1900024414062,514.260009765625,7899
2024-05-21,515.6599731445312,516.0,514.3599853515625,515.1699829101562,4720
2024-05-22,517.0999755859375,517.4099731445312,516.1599731445312,516.22998046875,3478
2024-05-23,517.52001953125,520.1799926757812,515.7999877929688,519.3800048828125,7399
2024-05-24,515.1900024414062,515.5999755859375,512.77001953125,513.719970703125,5393
2024-05-27,515.5499877929688,515.5499877929688,514.1099853515625,515.0,6931
2024-05-28,514.0399780273438,516.02001953125,513.8200073242188,515.2000122070312,9323
2024-05-29,513.8499755859375,514.3900146484375,511.7300109863281,513.5900268554688,4724
